game_id,main_player,ranked_status,win_status,0,1,2,3,4,5,6,7,8,9
178332992,diggs,TRUE,TRUE,faaaaaaaarrkk77,thatwisguy,tdoge,loui8sdstk,diggs,klausz,comestome,olddriverari,imshadowurlight,zikaevoli
178332484,diggs,TRUE,TRUE,wheniloveyou,sonk,makeouthill666,way,gmblitzcrank,damonho,diggs,brodiecarvosso,flukee,dillfrog95
177006333,diggs,TRUE,FALSE,ultimatelucky,mclament,ultimatepotato,newbeeing,sixsamsara,loui8sdstk,diggs,dasmurfkin9,kungfumaster,honorable
177015706,diggs,TRUE,TRUE,ledonger,18nakedc0wb0ys,loui8sdstk,diggs,chasemeplz,dreamofmgrils,azebra,neutralright,poncho,iloveurgf
176888185,diggs,TRUE,TRUE,loui8sdstk,diggs,waixp1,getoutofmyface,projinx,swifters11,nightmarekat,rainbowcrapper,pingaforsmoko,harryli
176897603,diggs,TRUE,TRUE,mustafaa10,clgdoublelift,astrumvicis,darcy,imaginative,loui8sdstk,diggs,mrtt,alpacadeft,melbourne
176737693,diggs,TRUE,TRUE,nzbeast,arzu,ptsd,izack,michaelsantana,loui8sdstk,skandaras,diggs,babylove,blegit
176617521,diggs,TRUE,FALSE,skandaras,dicedstk,diggs,fallowfield,tryingtosup,michellerq,theelmodrop,aseal,cellfam,ksryksry
176407459,diggs,TRUE,TRUE,imym,dylbofraggenz,skandaras,dicedstk,diggs,vallecaldosh,khasthorlime,khasos,detonate,yourtoosimple
176416372,diggs,TRUE,TRUE,dilzg,veggies,loui8sdstk,skandaras,diggs,aoamidgety,itookurmum,nnskingofhearts,thesugarlumps,swaglordbuddha
179858743,bumster,TRUE,FALSE,yam8alla,masterslowduck,drmanhattan,marrojin,jameszhang,huskyw,allenlilee,bumster,ljackie,darkcola
179735418,bumster,TRUE,TRUE,jaydac,bigzid,edwardcx,bumster,unaware,toxicasf69,casper34,kage,ozzyninja69,denden106
179724782,bumster,TRUE,FALSE,bumster,jaydac,n0is3y,jyoh9001,denden106,11gltddw,timolover,firsttimefizz,biggbirdd,boxsmashaking
179734236,bumster,TRUE,FALSE,juicypickle,d3mor4kk,hwangboj10,riggles,dildosareus,dbin,bumster,charms,zaphaa,paine
179723961,bumster,TRUE,FALSE,khanhbuimsi,juniya,tilford97,0wonderbringer0,jazdaddy,philociraptor,bumster,toxiccuunt,gingerninger,zaphaa
179488899,bumster,TRUE,FALSE,crimszonsz,xorgith,blânk,kabesusama,mrtrickz,mootman,bumster,hxxiaojieba,firong,carlospiceyweena
179487146,bumster,TRUE,TRUE,minch,dftba451,debonair,warrior,bumster,exar,asianrecruit,lkazanl,kanyewestjr,lolthatssofunny
179376223,bumster,TRUE,FALSE,shoocta,mihahs,julious,bsoulz,ultimatechaos,nout,spearo,karamja,bumster,zzztimzzz
179076341,bumster,TRUE,TRUE,skandaras,bumster,tinytiger24,impittpie,gleon9,mojoskitty,alien247,volibearbot,dauntl3ss,bizarre
179095530,bumster,TRUE,FALSE,skandaras,bumster,tinytiger24,bizarre,sirsaiyan,dwarfking69,sôl,twistedflame,ticklemetibbers,zwaig
179022887,bumster,TRUE,FALSE,jewgasernz,f1n3ss3,skandaras,bumster,dicedstk,coiossus,oximaproxo,cloudseraph,krell,nubbstar
176351798,mwaxy,TRUE,FALSE,itadakimaaas,snufflez,hadokyari,yingnyang,impsu,effectelement,miruv,vanarchy,sendugohome,mwaxy
176351370,mwaxy,TRUE,TRUE,jgmc,legendawake,mwaxy,soulstealer,sanchinodiaz,justsasha,slayinwookies,justjamesy,legendsdevil,bigwatermelon
176288788,mwaxy,TRUE,TRUE,blagerdagger,dearslim,rainkhaos,aaaym,eternallin,mwaxy,ozpin,oldmanplays,yesmax,darkbluu
176274643,mwaxy,TRUE,FALSE,mwaxy,smaiicat,punimajie,suka911,joee,sneakyysquid,xiix,iphuckterpuss,imhappyfeet,pinjarrapanther
176274063,mwaxy,TRUE,FALSE,loljames1,challita07,beinturebluejay,superdiaosest,walterz,punimajie,suka911,joee,mwaxy,lovethewayyourme
176179085,mwaxy,TRUE,FALSE,mwaxy,smatties,skandaras,bumster,dicedstk,letsbee,łlłlrugłlłl,gruepain,tramalsr,lii
176178735,mwaxy,TRUE,FALSE,letsbee,łlłlrugłlłl,tramalsr,lii,byulsk,mwaxy,smatties,skandaras,bumster,dicedstk
176167615,mwaxy,TRUE,TRUE,carryy,bitbashboy,tiari,conman,kazuyamishima,mrßlîšśfåñßøÿ,fanz,mwaxy,lorrainee103,activator
176167442,mwaxy,TRUE,FALSE,mwaxy,yuyi,cejayisis,fallengott,pressctrlw,tommyluo,floppyballsack,cybersn0w,mankomanko,gnarmyofone
176176778,mwaxy,TRUE,FALSE,ey2srikefasthyue,whysoseriours,allo,gmblitzcrank,khaoss,fkypenta,monsyerteddy,teddydamowang,reiwen,mwaxy
176108703,mwaxy,TRUE,TRUE,mwaxy,theimpaler,e1ton,danksloth369,mcblastoise,reqlinox,miikehl,moocow212,seochan,funzhtp
176113489,mwaxy,TRUE,FALSE,diao4,memepatrol,redcloak,sadisticd,mwaxy,flateric,zukyov,petelo937,opdamageofa,gdragon
176111411,mwaxy,TRUE,TRUE,mwaxy,kleophrades,fzjizky,potus,nipponese,beesindog,poppinoff,fizzonbush,hypocrite,hotelcasablanca
176101243,mwaxy,TRUE,TRUE,mwaxy,sirnaeron,amilionbabes,abcshots,drsquizzy,gastyle,wookees,biolife,fleece,insêc
176046647,mwaxy,TRUE,TRUE,threefivebottles,dotadog,firefirefire,sn0man9189,ookamisky,hysterics,argentfox,toefl120,mwaxy,astrapsato
176045823,mwaxy,TRUE,FALSE,spartaaagh,aidsthemonkey,someotherperson,r0yalblade,mrtheseamoose,pu3r,jamyj,tigermangg,uglyvirgin,mwaxy
176043819,mwaxy,TRUE,TRUE,ahamburgerpls,platinumflatop,thenotoriousme,twosamenumbers,thepoonangle,bestshooter,ltpepsi,xiphyir,mapleaddiction,mwaxy
180141806,loui8sdstk,TRUE,FALSE,imurderadc,mysterianoob,bloodykmary,hawkesie,fajamaja,loui8sdstk,skandaras,bodomboi,reverandspines,osamaboomladan
180131554,loui8sdstk,TRUE,FALSE,xxbensonxx,bubebubexx,loui8sdstk,skandaras,menelaus34,czy130330,dogofsake,dbp20m,akinokaze,mechreaper
180130313,loui8sdstk,TRUE,FALSE,mylastremake,themightyfruit,loui8sdstk,skandaras,awakeneddead,akalii,condom,stixxay,lliiilllliiillii,triplecrisp
