main_player,bumster,dicedstk,diggs,endgamedos,loui8sdstk,loui9sdstk,menelaus34,mwaxy,skandaras,smatties
bumster,21.0,3.0,,1.0,,,,,3.0,
dicedstk,2.0,124.0,,4.0,18.0,,20.0,,31.0,11.0
diggs,,2.0,14.0,,9.0,,,,4.0,
endgamedos,3.0,4.0,,39.0,9.0,,3.0,,9.0,7.0
loui8sdstk,,22.0,2.0,7.0,95.0,,7.0,1.0,57.0,13.0
loui9sdstk,2.0,9.0,,,,20.0,15.0,,17.0,16.0
menelaus34,,25.0,,3.0,10.0,,43.0,,16.0,4.0
mwaxy,2.0,2.0,,,1.0,,,18.0,2.0,2.0
skandaras,,20.0,,6.0,52.0,,8.0,,103.0,38.0
smatties,2.0,21.0,,6.0,19.0,5.0,11.0,2.0,56.0,58.0
