main_player,bumster,dicedstk,diggs,endgamedos,loui8sdstk,loui9sdstk,menelaus34,mwaxy,skandaras,smatties
bumster,4.0,0.0,,0.0,,,,,1.0,
dicedstk,0.0,62.0,,1.0,10.0,,14.0,,11.0,4.0
diggs,,1.0,11.0,,8.0,,,,3.0,
endgamedos,2.0,1.0,,16.0,4.0,,0.0,,2.0,2.0
loui8sdstk,,12.0,2.0,2.0,44.0,,3.0,0.0,24.0,4.0
loui9sdstk,0.0,4.0,,,,8.0,4.0,,7.0,7.0
menelaus34,,17.0,,0.0,4.0,,26.0,,5.0,1.0
mwaxy,0.0,0.0,,,0.0,,,8.0,0.0,0.0
skandaras,,10.0,,2.0,23.0,,3.0,,41.0,12.0
smatties,0.0,9.0,,2.0,7.0,3.0,4.0,0.0,19.0,20.0
