game_id,main_player,win_status,0,1,2,3,4,5,6,7,8,9
179859510,menelaus34,TRUE,evil bob,yerlskie,loui8s dstk,skandaras,menelaus34,hitmeonceagain,on9peter,supgee,rondo99,megablacker
178905617,menelaus34,FALSE,l am senpai,zsilverkingz,skandaras,dicedstk,menelaus34,big black,shadowkitty,emeraldkitty,soshininja,flukedoctor
178904939,menelaus34,FALSE,blackyan,howard william,sakuraerii,gibbous,colin sourman,skandaras,dicedstk,menelaus34,cigars,jojo5464
178904166,menelaus34,FALSE,mirabelle,ashbringer,popura,ssehunerry,abuzz,arrogan,skandaras,menelaus34,napoli,adrianj
178893915,menelaus34,TRUE,no more words,tim chow,fionalove,gibbous,dakotaa,keepcalmgainlp,napoli,adrianj,skandaras,menelaus34
178891356,menelaus34,FALSE,nightstroke,tronthepom,loui8s dstk,skandaras,menelaus34,milkecream,sexyy ladyyy,mop,ppapasmurff,matua william
178900471,menelaus34,FALSE,leumas95,carry bot,loui8s dstk,skandaras,menelaus34,cherrycreme,kha zix1011,ninjapoop,gemstone,òôó
178890139,menelaus34,TRUE,nehidude,deaths dance,swiftrevenge102,ace,connordude,loui8s dstk,skandaras,menelaus34,visciousneed,cherrycreme
178849220,menelaus34,FALSE,menelaus34,silver pugilist,generalbadadvice,nz hypnotoad,kapt blackbeard,lil bronze james,theboyfriend,princess kaalia,qùe ,adrianj
178689719,menelaus34,FALSE,v aids,awakeneddead,ireliamsorry,menelaus34,peng yuyan bot,schweeetz,ballsacks,wunsunnn,deathcandy,whuang
178689540,menelaus34,FALSE,minwoooooo,ta de laoba,choco,11g ltd dw,koreanhelper,peng yuyan bot,awakeneddead,ireliamsorry,menelaus34,prominscuous
178678977,menelaus34,TRUE,choco,11g ltd dw,koreanhelper,awakeneddead,menelaus34,midveigar,sold d1ck for rp,ayomd,ant on the stone,ljoker
178332992,diggs,TRUE,faaaaaaaarrkk77,thatwisguy,tdoge,loui8s dstk,diggs,klaus z,comes to me ,olddriver ari,imshadow urlight,zika evo li
178332484,diggs,TRUE,when i love you,sonk,makeouthill666,way,gm blitzcrank,damonho,diggs,brodie carvosso,flukee,dillfrog95
177006333,diggs,FALSE,ultimate lucky,mc lament,ultimate potato,newbeeing,six samsara,loui8s dstk,diggs,da smurf kin9,kung fu master,honorable
177015706,diggs,TRUE,le donger,18 naked c0wb0ys,loui8s dstk,diggs,chasemeplz,dream of m grils,a zebra,neutralright,poncho,iloveurgf
176888185,diggs,TRUE,loui8s dstk,diggs,waixp1,getoutofmyface,projinx,swifters11,nightmarekat,rainbowcrapper,pinga for smoko,harryli
176897603,diggs,TRUE,mustafaa10,clg doublelift,astrumvicis,darcy,imaginative,loui8s dstk,diggs,mrtt,alpaca deft,melbourne
176737693,diggs,TRUE,nz beast,arzu,ptsd,izack,michael santana,loui8s dstk,skandaras,diggs,babylove,b legit
176617521,diggs,FALSE,skandaras,dicedstk,diggs,fallowfield,trying to s u p,michellerq,theelmodrop,a seal,cellfam,ksryksry
176407459,diggs,TRUE,imym,dylbofraggenz,skandaras,dicedstk,diggs,val le caldosh,khas thor lime,khas os,detonate,you r too simple
176416372,diggs,TRUE,dilzg,veggies,loui8s dstk,skandaras,diggs,aoa midgety,i took ur mum,nns kingofhearts,thesugarlumps,swaglord buddha
179858743,bumster,False,yam8alla,masterslowduck,drmanhattan,marrojin,james zhang ,husky w,allenlilee,bumster,ljackie,darkcola
179735418,bumster,True,jaydac,bigzid,edwardcx,bumster,unaware,toxic asf 69,casper34,kage,ozzyninja69,denden106
179724782,bumster,False,bumster,jaydac,n0is3y,jyoh9001,denden106,11g ltd dw,timolover,first time fizz,biggbirdd,boxsmashaking
179734236,bumster,False,juicy pickle,d3mor4kk,hwangboj10,riggles,dildosareus ,dbin,bumster,charms,zaphaa,paine
179723961,bumster,False,khanhbuimsi,juniya,tilford97,0wonderbringer0,jazdaddy,philociraptor,bumster,toxic cuunt,gingerninger,zaphaa
179488899,bumster,False,crimszonsz,xorgith,blânk,kabesusama,mr trickz,moot man,bumster,hxxiaojieba,firong,carlospiceyweena
179487146,bumster,True,minch,dftba451,debonair,warrior,bumster,exar,asianrecruit,lkazanl,kanyewestjr,lolthatssofunny
179376223,bumster,False,shoocta,mihahs,julious,bsoulz,ultimatechaos,nout,spearo,karamja,bumster,zzztimzzz
179076341,bumster,True,skandaras,bumster,tinytiger24,impittpie,gleon9,mojos kitty,alien247,volibear bot,dauntl3ss,bizarre
179095530,bumster,False,skandaras,bumster,tinytiger24,bizarre,sirsaiyan,dwarfking69,sôl,twisted flame,ticklemetibbers,zwaig
179022887,bumster,False,jewgaser nz,f1n3ss3,skandaras,bumster,dicedstk,coiossus,oximaproxo,cloudseraph,krell,nubbstar
176351798,mwaxy,False,itadakimaaas,snufflez,hadokyari,ying n yang,impsu,effect element,miruv,vanarchy,send u go home,mwaxy
176351370,mwaxy,True,jgmc            ,legend awake,mwaxy,soulstealer,sanchino diaz,justsasha,slayin wookies,justjamesy,legends devil,big watermelon
176288788,mwaxy,True,blagerdagger,dear slim,rainkhaos,aaaym,eternal lin,mwaxy,ozpin,old man plays,yes max,darkbluu
176274643,mwaxy,False,mwaxy,smaii cat,punimajie,suka911,joee,sneakyysquid,xiix,iphuckterpuss,im happy feet,pinjarrapanther
176274063,mwaxy,False,loljames1,challita07,beintureblue jay,superdiaosest,walterz,punimajie,suka911,joee,mwaxy,lovethewayyourme
176179085,mwaxy,False,mwaxy,smatties,skandaras,bumster,dicedstk,lets bee ,?l?lrug?l?l,gruepain,tramal sr,lii
176178735,mwaxy,False,lets bee ,?l?lrug?l?l,tramal sr,lii,byul sk,mwaxy,smatties,skandaras,bumster,dicedstk
176167615,mwaxy,True,carryy,bitbashboy,tiari,conman,kazuya mishima,mrßlîš? fåñßøÿ,fanz,mwaxy,lorrainee103,activator
176167442,mwaxy,False,mwaxy,yuyi,cejayisis,fallen gott,press ctrl w,tommy luo,floppy ball sack,cybersn0w,manko manko,gnarmy of one
