game_id,attr,val
155442577,player0,2dmin
155442577,game_outcome,1
155442577,ranked_status,0
155443429,player0,2dmin
155443429,game_outcome,1
155443429,ranked_status,0
155452931,player0,2dmin
155452931,game_outcome,1
155452931,ranked_status,0
155453774,player0,2dmin
155453774,game_outcome,1
155453774,ranked_status,0
155685984,player0,orangu
155685984,player1,2dmin
155685984,game_outcome,1
155685984,ranked_status,1
155725896,player0,2dmin
155725896,player1,muncheroo
155725896,player2,orangu
155725896,game_outcome,0
155725896,ranked_status,1
155745282,player0,2dmin
155745282,player1,muncheroo
155745282,player2,orangu
155745282,game_outcome,0
155745282,ranked_status,1
155914353,player0,2dmin
155914353,player1,orangu
155914353,player2,diggs
155914353,game_outcome,1
155914353,ranked_status,1
155915402,player0,orangu
155915402,player1,2dmin
155915402,game_outcome,1
155915402,ranked_status,1
155921883,player0,orangu
155921883,player1,2dmin
155921883,game_outcome,0
155921883,ranked_status,1
155923442,player0,orangu
155923442,player1,diggs
155923442,player2,2dmin
155923442,game_outcome,0
155923442,ranked_status,1
155928994,player0,2dmin
155928994,player1,orangu
155928994,game_outcome,1
155928994,ranked_status,1
155996772,player0,2dmin
155996772,game_outcome,1
155996772,ranked_status,1
155998390,player0,2dmin
155998390,game_outcome,1
155998390,ranked_status,1
156021662,player0,2dmin
156021662,game_outcome,1
156021662,ranked_status,1
156048889,player0,2dmin
156048889,player1,orangu
156048889,game_outcome,1
156048889,ranked_status,1
156056085,player0,2dmin
156056085,player1,orangu
156056085,game_outcome,0
156056085,ranked_status,1
156057022,player0,2dmin
156057022,player1,orangu
156057022,game_outcome,0
156057022,ranked_status,1
156058162,player0,2dmin
156058162,player1,orangu
156058162,game_outcome,0
156058162,ranked_status,1
156073563,player0,2dmin
156073563,game_outcome,0
156073563,ranked_status,1
177601228,player0,loui8sdstk
177601228,player1,bumster
177601228,player2,menelaus34
177601228,player3,skandaras
177601228,game_outcome,0
177601228,ranked_status,1
178307595,player0,bumster
178307595,game_outcome,1
178307595,ranked_status,1
179022887,player0,skandaras
179022887,player1,bumster
179022887,player2,dicedstk
179022887,game_outcome,0
179022887,ranked_status,0
179044553,player0,skandaras
179044553,player1,bumster
179044553,game_outcome,0
179044553,ranked_status,1
179076341,player0,skandaras
179076341,player1,bumster
179076341,game_outcome,1
179076341,ranked_status,0
179095530,player0,skandaras
179095530,player1,bumster
179095530,game_outcome,0
179095530,ranked_status,0
179376223,player0,bumster
179376223,game_outcome,0
179376223,ranked_status,0
179487146,player0,bumster
179487146,game_outcome,1
179487146,ranked_status,0
179488899,player0,bumster
179488899,game_outcome,0
179488899,ranked_status,0
179723961,player0,bumster
179723961,game_outcome,0
179723961,ranked_status,0
179724782,player0,bumster
179724782,game_outcome,0
179724782,ranked_status,0
179734236,player0,bumster
179734236,game_outcome,0
179734236,ranked_status,0
179735418,player0,bumster
179735418,game_outcome,1
179735418,ranked_status,0
179858743,player0,bumster
179858743,game_outcome,0
179858743,ranked_status,0
180201290,player0,bumster
180201290,game_outcome,1
180201290,ranked_status,0
180207382,player0,bumster
180207382,game_outcome,0
180207382,ranked_status,0
180733177,player0,bumster
180733177,game_outcome,0
180733177,ranked_status,1
180765530,player0,bumster
180765530,game_outcome,0
180765530,ranked_status,1
180830510,player0,bumster
180830510,game_outcome,0
180830510,ranked_status,1
180964278,player0,bumster
180964278,game_outcome,0
180964278,ranked_status,0
181455074,player0,bumster
181455074,game_outcome,0
181455074,ranked_status,0
183773832,player0,bumster
183773832,game_outcome,0
183773832,ranked_status,0
184568677,player0,bumster
184568677,game_outcome,0
184568677,ranked_status,1
188549409,player0,bumster
188549409,game_outcome,0
188549409,ranked_status,0
192894156,player0,mwaxy
192894156,player1,skandaras
192894156,player2,bumster
192894156,player3,diggs
192894156,game_outcome,0
192894156,ranked_status,1
192896345,player0,mwaxy
192896345,player1,skandaras
192896345,player2,bumster
192896345,player3,diggs
192896345,player4,menelaus34
192896345,game_outcome,0
192896345,ranked_status,1
192907769,player0,mwaxy
192907769,player1,skandaras
192907769,player2,bumster
192907769,player3,diggs
192907769,player4,menelaus34
192907769,game_outcome,0
192907769,ranked_status,1
193673656,player0,skandaras
193673656,player1,bumster
193673656,game_outcome,0
193673656,ranked_status,1
193691342,player0,mwaxy
193691342,player1,skandaras
193691342,player2,bumster
193691342,player3,menelaus34
193691342,game_outcome,0
193691342,ranked_status,1
193730960,player0,loui8sdstk
193730960,player1,mwaxy
193730960,player2,bumster
193730960,player3,dicedstk
193730960,player4,diggs
193730960,game_outcome,0
193730960,ranked_status,1
193732428,player0,mwaxy
193732428,player1,skandaras
193732428,player2,bumster
193732428,player3,dicedstk
193732428,player4,diggs
193732428,game_outcome,0
193732428,ranked_status,1
193742980,player0,mwaxy
193742980,player1,skandaras
193742980,player2,bumster
193742980,player3,dicedstk
193742980,player4,diggs
193742980,game_outcome,1
193742980,ranked_status,1
194735688,player0,loui8sdstk
194735688,player1,mwaxy
194735688,player2,skandaras
194735688,player3,bumster
194735688,game_outcome,0
194735688,ranked_status,1
194747100,player0,loui8sdstk
194747100,player1,mwaxy
194747100,player2,skandaras
194747100,player3,bumster
194747100,game_outcome,1
194747100,ranked_status,1
194814991,player0,mwaxy
194814991,player1,skandaras
194814991,player2,bumster
194814991,player3,dicedstk
194814991,player4,menelaus34
194814991,game_outcome,0
194814991,ranked_status,1
194816543,player0,mwaxy
194816543,player1,skandaras
194816543,player2,bumster
194816543,player3,dicedstk
194816543,player4,menelaus34
194816543,game_outcome,1
194816543,ranked_status,1
194818377,player0,mwaxy
194818377,player1,skandaras
194818377,player2,bumster
194818377,player3,dicedstk
194818377,player4,menelaus34
194818377,game_outcome,1
194818377,ranked_status,1
194826308,player0,mwaxy
194826308,player1,skandaras
194826308,player2,bumster
194826308,player3,dicedstk
194826308,player4,menelaus34
194826308,game_outcome,0
194826308,ranked_status,1
195019718,player0,bumster
195019718,game_outcome,0
195019718,ranked_status,0
195041281,player0,mwaxy
195041281,player1,skandaras
195041281,player2,bumster
195041281,player3,dicedstk
195041281,game_outcome,1
195041281,ranked_status,1
179666967,player0,skandaras
179666967,player1,dicedstk
179666967,game_outcome,0
179666967,ranked_status,0
179667533,player0,skandaras
179667533,player1,dicedstk
179667533,game_outcome,0
179667533,ranked_status,0
179671742,player0,dicedstk
179671742,game_outcome,1
179671742,ranked_status,0
179720524,player0,skandaras
179720524,player1,dicedstk
179720524,game_outcome,0
179720524,ranked_status,0
179722825,player0,skandaras
179722825,player1,dicedstk
179722825,game_outcome,0
179722825,ranked_status,0
179731457,player0,skandaras
179731457,player1,dicedstk
179731457,game_outcome,1
179731457,ranked_status,0
179732175,player0,skandaras
179732175,player1,dicedstk
179732175,game_outcome,0
179732175,ranked_status,0
179735030,player0,dicedstk
179735030,game_outcome,0
179735030,ranked_status,0
179738658,player0,skandaras
