player1,bumster,dicedstk,diggs,endgamedos,loui8sdstk,loui9sdstk,menelaus34,mwaxy,skandaras,smatties
bumster,0.3333333333333333,0.3,0.3,0.5,0.6666666666666666,0.0,0.25,0.4,0.22580645161290322,0.0
dicedstk,0.3,0.5,0.5,0.6,0.5507246376811594,0.4444444444444444,0.5384615384615384,0.4,0.46564885496183206,0.4642857142857143
diggs,0.3,0.5,0.539568345323741,0.0,0.6119402985074627,,0.6,0.48,0.46875,0.0
endgamedos,0.5,0.6,0.0,0.5217391304347826,0.5833333333333334,,0.0,0.5,0.3333333333333333,0.42857142857142855
loui8sdstk,0.6666666666666666,0.5507246376811594,0.6119402985074627,0.5833333333333334,0.5517241379310345,,0.5333333333333333,0.3333333333333333,0.5197368421052632,0.5909090909090909
loui9sdstk,0.0,0.4444444444444444,,,,0.45454545454545453,0.26666666666666666,,0.47368421052631576,0.4375
menelaus34,0.25,0.5384615384615384,0.6,0.0,0.5333333333333333,0.26666666666666666,0.5256410256410257,0.38461538461538464,0.42105263157894735,0.2777777777777778
mwaxy,0.4,0.4,0.48,0.5,0.3333333333333333,,0.38461538461538464,0.475,0.36666666666666664,0.0
skandaras,0.22580645161290322,0.46564885496183206,0.46875,0.3333333333333333,0.5197368421052632,0.47368421052631576,0.42105263157894735,0.36666666666666664,0.48502994011976047,0.5662650602409639
smatties,0.0,0.4642857142857143,0.0,0.42857142857142855,0.5909090909090909,0.4375,0.2777777777777778,0.0,0.5662650602409639,0.550561797752809
